"pupil","school","popular","sex","texp","teachpop"
1,1,8,"girl",24,7
2,1,7,"boy",24,7
3,1,7,"girl",24,6
4,1,9,"girl",24,6
5,1,8,"girl",24,7
6,1,7,"boy",24,7
7,1,7,"boy",24,7
8,1,7,"boy",24,7
9,1,7,"boy",24,7
10,1,8,"boy",24,6
11,1,8,"girl",24,6
12,1,7,"girl",24,7
13,1,7,"boy",24,7
14,1,7,"girl",24,6
15,1,9,"girl",24,7
16,1,7,"girl",24,6
17,1,9,"boy",24,7
18,1,7,"boy",24,7
19,1,8,"girl",24,7
20,1,7,"boy",24,7
1,2,5,"girl",14,3
2,2,4,"boy",14,3
3,2,4,"boy",14,4
4,2,5,"girl",14,4
5,2,4,"girl",14,2
6,2,4,"boy",14,4
7,2,4,"girl",14,2
8,2,3,"boy",14,4
9,2,4,"girl",14,4
10,2,5,"girl",14,3
11,2,4,"girl",14,3
12,2,4,"boy",14,2
13,2,4,"boy",14,2
14,2,4,"boy",14,3
15,2,4,"boy",14,2
16,2,4,"girl",14,2
17,2,4,"girl",14,4
18,2,4,"girl",14,4
19,2,4,"boy",14,2
20,2,4,"boy",14,4
1,3,6,"boy",13,6
2,3,8,"girl",13,7
3,3,6,"girl",13,6
4,3,7,"girl",13,6
5,3,6,"boy",13,6
6,3,7,"girl",13,6
7,3,7,"boy",13,5
8,3,8,"girl",13,6
9,3,7,"girl",13,6
10,3,7,"girl",13,5
11,3,8,"girl",13,7
12,3,7,"girl",13,6
13,3,7,"girl",13,6
14,3,7,"girl",13,5
15,3,5,"boy",13,6
16,3,7,"boy",13,5
17,3,7,"girl",13,6
18,3,6,"boy",13,6
1,4,7,"girl",20,6
2,4,6,"girl",20,6
3,4,7,"girl",20,6
4,4,6,"girl",20,6
5,4,6,"girl",20,6
6,4,6,"boy",20,5
7,4,7,"boy",20,6
8,4,7,"boy",20,6
9,4,6,"boy",20,6
10,4,6,"girl",20,6
11,4,5,"boy",20,6
12,4,6,"boy",20,6
13,4,6,"boy",20,6
14,4,6,"boy",20,6
15,4,6,"boy",20,6
16,4,6,"girl",20,6
17,4,7,"girl",20,6
18,4,7,"boy",20,5
19,4,6,"boy",20,6
20,4,7,"boy",20,6
21,4,7,"boy",20,6
22,4,7,"girl",20,6
23,4,6,"boy",20,5
1,5,5,"boy",5,4
2,5,4,"girl",5,4
3,5,3,"boy",5,3
4,5,5,"girl",5,3
5,5,3,"boy",5,3
6,5,4,"boy",5,4
7,5,4,"boy",5,4
8,5,5,"girl",5,5
9,5,5,"girl",5,4
10,5,5,"boy",5,5
11,5,5,"girl",5,5
12,5,5,"girl",5,5
13,5,4,"boy",5,3
14,5,7,"girl",5,4
15,5,5,"boy",5,4
16,5,5,"girl",5,4
17,5,5,"girl",5,3
18,5,4,"boy",5,3
19,5,5,"girl",5,5
20,5,5,"boy",5,4
21,5,4,"boy",5,4
1,6,4,"boy",8,3
2,6,4,"girl",8,3
3,6,4,"girl",8,2
4,6,5,"girl",8,4
5,6,5,"girl",8,4
6,6,4,"girl",8,4
7,6,4,"boy",8,3
8,6,4,"boy",8,2
9,6,6,"girl",8,4
10,6,5,"girl",8,3
11,6,3,"boy",8,3
12,6,4,"girl",8,3
13,6,4,"girl",8,3
14,6,4,"boy",8,2
15,6,5,"girl",8,4
16,6,3,"boy",8,2
17,6,4,"boy",8,3
18,6,4,"boy",8,4
19,6,4,"boy",8,3
20,6,4,"boy",8,3
1,7,7,"girl",17,5
2,7,6,"girl",17,5
3,7,4,"boy",17,4
4,7,4,"boy",17,4
5,7,5,"boy",17,4
6,7,7,"girl",17,5
7,7,5,"boy",17,4
8,7,7,"girl",17,5
9,7,5,"boy",17,4
10,7,6,"girl",17,6
11,7,5,"boy",17,4
12,7,5,"boy",17,4
13,7,6,"boy",17,5
14,7,6,"girl",17,5
15,7,5,"boy",17,4
16,7,5,"boy",17,4
17,7,7,"girl",17,5
18,7,5,"boy",17,4
19,7,8,"girl",17,5
20,7,7,"girl",17,5
21,7,4,"boy",17,5
1,8,7,"girl",12,6
2,8,4,"boy",12,4
3,8,6,"girl",12,5
4,8,7,"girl",12,5
5,8,6,"boy",12,6
6,8,7,"girl",12,5
7,8,5,"boy",12,5
8,8,6,"girl",12,6
9,8,4,"boy",12,4
10,8,6,"girl",12,5
11,8,4,"boy",12,4
12,8,4,"boy",12,5
13,8,4,"boy",12,5
14,8,7,"girl",12,5
15,8,4,"boy",12,5
16,8,5,"boy",12,5
17,8,7,"girl",12,5
18,8,6,"girl",12,5
19,8,7,"girl",12,5
20,8,6,"girl",12,5
1,9,4,"boy",9,2
2,9,5,"girl",9,4
3,9,5,"girl",9,4
4,9,6,"girl",9,4
5,9,5,"girl",9,4
6,9,3,"boy",9,4
7,9,3,"boy",9,3
8,9,4,"boy",9,3
9,9,4,"boy",9,2
10,9,4,"boy",9,4
11,9,2,"boy",9,2
12,9,4,"girl",9,2
13,9,3,"boy",9,4
14,9,3,"boy",9,2
15,9,2,"boy",9,3
16,9,3,"boy",9,4
17,9,5,"girl",9,4
18,9,6,"girl",9,3
19,9,4,"girl",9,3
20,9,4,"boy",9,3
1,10,5,"boy",21,5
2,10,5,"girl",21,5
3,10,4,"boy",21,3
4,10,5,"girl",21,4
5,10,5,"boy",21,3
6,10,4,"girl",21,4
7,10,5,"boy",21,3
8,10,5,"boy",21,5
9,10,5,"girl",21,4
10,10,5,"girl",21,3
11,10,5,"boy",21,5
12,10,5,"boy",21,3
13,10,5,"girl",21,4
14,10,5,"boy",21,4
15,10,6,"boy",21,4
16,10,4,"boy",21,4
17,10,5,"boy",21,4
18,10,4,"boy",21,3
19,10,4,"girl",21,3
20,10,5,"girl",21,4
21,10,5,"girl",21,4
22,10,5,"girl",21,3
23,10,5,"girl",21,4
24,10,5,"girl",21,4
1,11,5,"boy",11,4
2,11,6,"girl",11,4
3,11,5,"girl",11,4
4,11,5,"boy",11,4
5,11,5,"boy",11,4
6,11,6,"girl",11,5
7,11,4,"boy",11,4
8,11,6,"girl",11,6
9,11,6,"girl",11,5
10,11,6,"girl",11,4
11,11,4,"boy",11,4
12,11,6,"boy",11,5
13,11,5,"boy",11,4
14,11,6,"girl",11,5
15,11,6,"girl",11,5
16,11,5,"boy",11,4
17,11,5,"boy",11,4
18,11,5,"boy",11,5
19,11,5,"boy",11,5
20,11,7,"girl",11,4
21,11,6,"girl",11,6
22,11,5,"boy",11,4
1,12,5,"boy",16,5
2,12,5,"girl",16,4
3,12,6,"girl",16,5
4,12,5,"girl",16,4
5,12,5,"girl",16,5
6,12,6,"boy",16,4
7,12,5,"boy",16,5
8,12,5,"boy",16,5
9,12,5,"girl",16,5
10,12,5,"girl",16,4
11,12,5,"boy",16,4
12,12,5,"boy",16,4
13,12,5,"girl",16,4
14,12,6,"boy",16,4
15,12,5,"boy",16,5
16,12,5,"boy",16,4
17,12,5,"boy",16,5
2,13,7,"girl",19,5
3,13,6,"girl",19,5
4,13,5,"boy",19,4
5,13,5,"boy",19,4
6,13,6,"girl",19,6
7,13,5,"girl",19,4
8,13,5,"boy",19,4
9,13,7,"girl",19,6
10,13,5,"boy",19,4
11,13,6,"boy",19,6
12,13,7,"girl",19,4
13,13,7,"girl",19,6
14,13,5,"boy",19,4
15,13,7,"girl",19,5
16,13,5,"boy",19,4
17,13,6,"boy",19,5
18,13,7,"girl",19,4
19,13,6,"girl",19,4
20,13,7,"girl",19,4
21,13,6,"girl",19,4
1,14,3,"boy",2,2
2,14,3,"boy",2,2
3,14,4,"girl",2,3
4,14,3,"boy",2,4
5,14,4,"girl",2,3
6,14,4,"boy",2,3
7,14,3,"boy",2,4
8,14,4,"boy",2,3
9,14,3,"boy",2,4
10,14,3,"boy",2,2
11,14,3,"boy",2,4
12,14,4,"girl",2,4
13,14,3,"boy",2,2
14,14,5,"girl",2,3
15,14,3,"boy",2,2
16,14,5,"girl",2,4
17,14,3,"boy",2,3
1,15,5,"boy",8,5
2,15,4,"boy",8,5
3,15,4,"boy",8,4
4,15,5,"boy",8,4
5,15,6,"boy",8,4
6,15,5,"girl",8,4
7,15,6,"girl",8,4
8,15,5,"girl",8,4
9,15,5,"boy",8,4
10,15,5,"boy",8,5
11,15,5,"girl",8,5
12,15,6,"boy",8,5
13,15,6,"boy",8,4
14,15,6,"girl",8,4
15,15,5,"boy",8,4
16,15,6,"girl",8,4
17,15,5,"boy",8,5
18,15,7,"girl",8,5
19,15,5,"boy",8,4
20,15,6,"girl",8,4
21,15,6,"boy",8,4
22,15,5,"boy",8,4
23,15,4,"boy",8,4
24,15,5,"boy",8,4
1,16,7,"girl",11,6
2,16,7,"girl",11,6
3,16,8,"girl",11,7
4,16,8,"girl",11,6
5,16,6,"girl",11,6
6,16,5,"boy",11,6
7,16,7,"girl",11,5
8,16,5,"boy",11,6
9,16,7,"girl",11,6
10,16,7,"girl",11,6
11,16,6,"girl",11,5
12,16,7,"girl",11,6
13,16,7,"girl",11,6
14,16,5,"boy",11,5
15,16,7,"girl",11,5
16,16,6,"girl",11,6
17,16,8,"girl",11,6
1,17,5,"boy",16,4
2,17,5,"girl",16,4
3,17,4,"boy",16,4
4,17,3,"boy",16,4
5,17,4,"girl",16,4
6,17,4,"boy",16,4
7,17,5,"girl",16,5
8,17,5,"girl",16,4
9,17,5,"girl",16,4
10,17,5,"girl",16,5
11,17,4,"girl",16,4
12,17,5,"boy",16,5
13,17,4,"boy",16,4
14,17,4,"girl",16,4
15,17,5,"boy",16,4
16,17,5,"girl",16,4
17,17,4,"girl",16,4
18,17,4,"girl",16,5
19,17,5,"boy",16,4
20,17,5,"girl",16,4
21,17,5,"girl",16,5
22,17,4,"boy",16,4
23,17,4,"boy",16,5
24,17,5,"boy",16,5
25,17,4,"boy",16,5
26,17,3,"boy",16,4
1,18,6,"boy",21,5
2,18,7,"girl",21,5
3,18,7,"boy",21,6
4,18,6,"boy",21,6
5,18,6,"boy",21,5
6,18,7,"girl",21,5
7,18,5,"boy",21,4
8,18,7,"girl",21,5
9,18,6,"boy",21,5
10,18,6,"girl",21,6
11,18,7,"boy",21,5
12,18,8,"girl",21,6
13,18,6,"boy",21,5
14,18,5,"boy",21,5
15,18,7,"girl",21,6
16,18,5,"boy",21,4
17,18,5,"boy",21,5
18,18,8,"girl",21,5
19,18,7,"girl",21,5
20,18,6,"girl",21,5
21,18,5,"boy",21,5
1,19,5,"girl",16,4
2,19,5,"boy",16,4
3,19,4,"boy",16,4
4,19,6,"girl",16,5
5,19,6,"boy",16,4
6,19,5,"boy",16,4
7,19,4,"boy",16,4
8,19,6,"girl",16,4
9,19,5,"boy",16,4
10,19,6,"girl",16,4
11,19,6,"girl",16,4
12,19,4,"boy",16,5
14,19,6,"girl",16,4
15,19,6,"girl",16,4
16,19,4,"boy",16,5
17,19,7,"girl",16,4
18,19,6,"girl",16,4
19,19,5,"boy",16,4
20,19,6,"girl",16,4
21,19,4,"boy",16,5
1,20,5,"girl",10,4
2,20,5,"girl",10,4
3,20,5,"girl",10,4
4,20,5,"girl",10,4
5,20,5,"girl",10,4
6,20,6,"girl",10,4
7,20,5,"girl",10,5
8,20,3,"boy",10,3
9,20,5,"girl",10,5
10,20,4,"boy",10,4
11,20,4,"boy",10,3
12,20,5,"girl",10,3
13,20,4,"boy",10,3
14,20,6,"girl",10,5
15,20,6,"girl",10,5
17,20,3,"boy",10,3
18,20,5,"girl",10,4
19,20,4,"girl",10,5
20,20,5,"girl",10,4
21,20,3,"boy",10,3
1,21,6,"girl",17,5
2,21,7,"girl",17,5
3,21,7,"girl",17,5
4,21,8,"girl",17,5
5,21,5,"boy",17,5
6,21,5,"boy",17,5
7,21,6,"boy",17,5
8,21,6,"girl",17,5
9,21,6,"boy",17,5
10,21,6,"boy",17,5
11,21,7,"girl",17,5
12,21,5,"boy",17,5
13,21,5,"boy",17,5
14,21,5,"boy",17,5
15,21,7,"girl",17,5
16,21,5,"boy",17,5
17,21,6,"boy",17,5
18,21,8,"girl",17,5
19,21,7,"girl",17,6
20,21,7,"girl",17,6
21,21,7,"girl",17,5
22,21,5,"girl",17,5
23,21,6,"girl",17,5
1,22,5,"girl",11,4
2,22,4,"girl",11,3
3,22,6,"girl",11,5
4,22,5,"girl",11,3
5,22,4,"boy",11,4
6,22,4,"boy",11,3
7,22,4,"boy",11,5
8,22,5,"girl",11,4
9,22,4,"girl",11,4
10,22,4,"boy",11,4
11,22,3,"boy",11,3
12,22,4,"boy",11,4
13,22,5,"girl",11,5
14,22,4,"girl",11,4
15,22,3,"boy",11,3
16,22,4,"girl",11,3
17,22,4,"boy",11,5
18,22,5,"girl",11,5
19,22,5,"girl",11,3
20,22,5,"girl",11,5
1,23,5,"boy",15,5
2,23,6,"girl",15,5
3,23,6,"girl",15,5
4,23,5,"boy",15,5
5,23,6,"girl",15,5
6,23,6,"girl",15,5
7,23,5,"girl",15,5
8,23,4,"boy",15,5
9,23,6,"boy",15,5
10,23,5,"boy",15,5
11,23,5,"boy",15,5
12,23,6,"girl",15,6
13,23,5,"boy",15,5
14,23,7,"girl",15,6
15,23,6,"girl",15,6
16,23,5,"boy",15,5
17,23,5,"girl",15,4
18,23,5,"boy",15,4
19,23,6,"girl",15,5
20,23,4,"boy",15,5
21,23,5,"boy",15,5
22,23,5,"boy",15,5
1,24,3,"boy",6,4
2,24,4,"boy",6,2
3,24,5,"girl",6,3
4,24,5,"girl",6,4
5,24,4,"girl",6,3
6,24,5,"girl",6,4
7,24,4,"boy",6,3
8,24,4,"girl",6,3
9,24,4,"boy",6,3
10,24,4,"girl",6,3
11,24,4,"boy",6,2
12,24,4,"boy",6,4
13,24,3,"boy",6,4
14,24,4,"boy",6,2
15,24,3,"boy",6,4
16,24,6,"girl",6,4
17,24,4,"girl",6,2
18,24,6,"girl",6,4
19,24,3,"boy",6,3
1,25,6,"boy",19,5
2,25,7,"girl",19,5
3,25,7,"girl",19,5
4,25,7,"girl",19,5
5,25,7,"girl",19,5
6,25,6,"boy",19,5
7,25,6,"boy",19,5
8,25,7,"girl",19,6
9,25,7,"girl",19,6
10,25,6,"boy",19,5
11,25,7,"girl",19,6
12,25,6,"boy",19,5
13,25,7,"girl",19,5
14,25,6,"girl",19,5
15,25,7,"girl",19,5
16,25,6,"boy",19,5
17,25,5,"boy",19,5
18,25,7,"boy",19,5
19,25,6,"boy",19,5
20,25,6,"boy",19,5
1,26,4,"girl",10,3
2,26,4,"girl",10,4
3,26,4,"boy",10,4
4,26,4,"girl",10,3
5,26,4,"boy",10,3
6,26,5,"girl",10,4
7,26,5,"girl",10,4
8,26,4,"boy",10,3
9,26,3,"boy",10,4
10,26,4,"boy",10,4
11,26,5,"girl",10,3
12,26,4,"boy",10,3
13,26,5,"girl",10,4
14,26,4,"boy",10,3
15,26,4,"boy",10,4
16,26,4,"girl",10,3
17,26,5,"girl",10,4
18,26,3,"girl",10,4
19,26,4,"boy",10,4
20,26,3,"boy",10,3
21,26,5,"girl",10,4
1,27,5,"boy",10,4
2,27,5,"boy",10,5
3,27,6,"boy",10,4
4,27,5,"boy",10,4
5,27,5,"boy",10,4
6,27,4,"boy",10,5
7,27,6,"boy",10,6
8,27,6,"boy",10,4
9,27,6,"girl",10,5
10,27,6,"boy",10,6
11,27,6,"girl",10,4
12,27,6,"girl",10,4
13,27,5,"boy",10,4
14,27,7,"girl",10,4
15,27,6,"girl",10,6
16,27,6,"girl",10,4
17,27,5,"boy",10,4
18,27,6,"boy",10,6
19,27,4,"boy",10,5
20,27,5,"boy",10,4
1,28,5,"boy",13,5
2,28,5,"girl",13,5
3,28,4,"boy",13,4
4,28,3,"boy",13,4
5,28,5,"girl",13,4
6,28,6,"girl",13,4
7,28,4,"boy",13,5
8,28,5,"girl",13,4
9,28,5,"girl",13,4
10,28,5,"girl",13,4
11,28,4,"boy",13,5
12,28,5,"boy",13,4
13,28,4,"girl",13,4
14,28,4,"boy",13,4
15,28,5,"girl",13,4
16,28,4,"boy",13,4
17,28,5,"girl",13,5
18,28,4,"boy",13,4
19,28,5,"girl",13,4
20,28,5,"girl",13,5
1,29,5,"girl",22,5
2,29,5,"boy",22,4
3,29,5,"boy",22,4
4,29,5,"boy",22,4
5,29,6,"girl",22,5
6,29,6,"girl",22,4
7,29,5,"boy",22,4
8,29,6,"girl",22,4
9,29,5,"girl",22,4
10,29,5,"girl",22,5
12,29,5,"boy",22,4
13,29,4,"boy",22,4
14,29,5,"girl",22,5
15,29,7,"girl",22,5
16,29,5,"girl",22,4
17,29,6,"girl",22,4
18,29,4,"boy",22,4
1,30,5,"boy",6,4
2,30,5,"boy",6,4
3,30,5,"girl",6,4
4,30,5,"boy",6,4
5,30,6,"girl",6,5
6,30,4,"boy",6,4
7,30,4,"boy",6,5
8,30,5,"girl",6,4
9,30,4,"boy",6,4
10,30,7,"girl",6,4
11,30,5,"boy",6,5
12,30,5,"girl",6,4
13,30,6,"girl",6,4
14,30,5,"boy",6,5
15,30,6,"girl",6,4
16,30,6,"girl",6,4
17,30,6,"girl",6,4
1,31,4,"boy",6,4
2,31,5,"girl",6,5
4,31,5,"girl",6,4
5,31,5,"girl",6,4
6,31,4,"boy",6,4
7,31,6,"girl",6,4
8,31,5,"girl",6,5
9,31,5,"girl",6,4
10,31,4,"boy",6,4
11,31,5,"boy",6,4
12,31,4,"boy",6,5
13,31,4,"boy",6,4
14,31,4,"boy",6,4
15,31,5,"boy",6,5
16,31,5,"boy",6,4
17,31,5,"girl",6,5
18,31,4,"boy",6,5
19,31,4,"boy",6,4
20,31,5,"girl",6,4
1,32,6,"girl",12,5
2,32,4,"boy",12,4
3,32,6,"girl",12,5
4,32,6,"girl",12,4
5,32,4,"boy",12,4
6,32,4,"boy",12,4
7,32,4,"boy",12,4
8,32,7,"girl",12,6
9,32,4,"boy",12,4
10,32,7,"girl",12,6
11,32,7,"girl",12,5
12,32,4,"boy",12,4
13,32,7,"girl",12,6
14,32,4,"boy",12,5
15,32,6,"girl",12,4
16,32,5,"boy",12,4
17,32,4,"boy",12,4
18,32,4,"boy",12,4
19,32,4,"boy",12,4
20,32,5,"girl",12,5
21,32,4,"boy",12,5
22,32,6,"girl",12,4
23,32,7,"girl",12,6
1,33,4,"boy",3,4
2,33,6,"girl",3,4
3,33,6,"boy",3,4
4,33,5,"girl",3,5
5,33,4,"boy",3,4
6,33,4,"boy",3,4
7,33,6,"girl",3,4
8,33,5,"girl",3,5
9,33,4,"boy",3,4
10,33,7,"girl",3,5
11,33,5,"girl",3,4
12,33,4,"girl",3,4
13,33,5,"girl",3,5
14,33,4,"boy",3,4
15,33,5,"girl",3,4
16,33,4,"boy",3,5
17,33,6,"girl",3,4
18,33,6,"girl",3,5
